# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\world_map_1.png	255	255	255
10	textures\world_map_sprites.png	248	236	160
20	textures\world_map_1_bank.png	255	255	255
30	textures\mario2.png		255	255	255
40	textures\world_map_sprites_2.png	248	236	160
50	textures\HUD.png		0	224	142
#ID	TRTileSet	TCTileSet	TRMap	TCMap	TotalTiles	Matrix_Path
[MAP]
20	7	10	7	10	67	textures\world-map-1_map.txt
# id	left	top	right	bottom	texture_id
[SPRITES]
#===HELP
1000	1	2	17	15	10
#==== CHU M TRANG
1001	18	0	34	16	10
#==== CHU M CAM
1002	35	0	51	16	10
#==== CASTLE
1003	52	1	68	16	10
#==== CAVE
1004	69	1	85	16	10
#==== STRANGE THINGS
#==== STRANGE THING LOW
1005	86	1	102	12	10
#==== STRANGE THING HIGH
1006	103	1	119	11	10
#==== LA BAI AT KHONG CO CHU N
1007	120	0	136	15	10
#==== LA BAI AT CO CHU N
1008	137	0	153	16	10
#==== BUSH
1009	1	17	17	32	10
1010	18	17	34	32	10
1011	35	17	51	32	10
1012	52	17	68	32	10
#=== THE MUSHROOM VILLAGE
1013	69	17	85	32	10
#====THE DOOR
1014	86	17	102	32	10
#==== THE GOLD DIGGER
#==== THE GOLD DIGGER 	WALK RIGHT
1015	103	17	119	32	10
1016	120	18	136	32	10
#==== THE GOLD DIGGER	WALK LEFT
1027	35	17	51	32	40
1028	18	18	34	32	40
#=== START BUTTON
1017	1	33	17	49	10
#=== THE BRIDGE
1018	18	33	34	49	10
#==== STAGE 1
1019	35	33	51	48	10
#==== STAGE 2
1020	52	33	68	48	10
#==== STAGE 3
1021	69	33	85	48	10
#==== STAGE 4
1022	86	33	102	48	10
#==== STAGE 5
1023	103	33	119	48	10
#==== STAGE 6
1024	120	33	136	48	10

#===== MARIO
1025	220	8	234	24	30
1026	237	8	251	24	30

#=============HUD===========================
60100	11	127	165	157	50
#icon MARIO					
60102	15	160	33	169	50
#icon Lugi					
60103	15	170	33	179	50
#PowerMelter filled arrow					
60104	63	161	72	170	50
#powerMelter filled iconP					
60105	72	161	88	170	50
#powerMelter empty arrow					
60106	90	161	99	170	50
#powerMelter empty icon					
60107	99	161	116	170	50
#empty card					
60108	159	158	183	189	50
#mushroom card					
60109	184	158	208	189	50
#fireflower card					
60110	209	157	233	189	50
#startman card					
60111	234	157	258	189	50
#font - 0					
60112	76	30	86	40	50
#font - 1					
60113	86	30	96	40	50
#font - 2					
60114	96	30	106	40	50
#font - 3					
60115	106	30	116	40	50
#font - 4					
60116	116	30	126	40	50
#font - 5					
60117	126	30	136	40	50
#font - 6					
60118	136	30	146	40	50
#font - 7					
60119	146	30	156	40	50
#font - 8					
60120	156	30	166	40	50
#font - 9					
60121	166	30	176	40	50
